Test;Average;Iterations;Generations average
build/results_ftv47.atsp_16threads_10seconds_true.csv;1964.2;40;3
build/results_ftv47.atsp_16threads_30seconds_true.csv;1861.38;40;9.95
build/results_ftv47.atsp_16threads_60seconds_true.csv;1822.1;20;19.95
build/results_ftv47.atsp_1threads_10seconds_true.csv;1895.12;40;53.75
build/results_ftv47.atsp_1threads_30seconds_true.csv;1868.9;40;167.725
build/results_ftv47.atsp_1threads_60seconds_true.csv;1864.41;27;331.481
build/results_ftv47.atsp_2threads_10seconds_true.csv;1875.55;40;26.95
build/results_ftv47.atsp_2threads_30seconds_true.csv;1863.65;40;83.625
build/results_ftv47.atsp_2threads_60seconds_true.csv;1846.85;20;165.45
build/results_ftv47.atsp_4threads_10seconds_true.csv;1883.8;40;13.15
build/results_ftv47.atsp_4threads_30seconds_true.csv;1844.08;40;41.4
build/results_ftv47.atsp_4threads_60seconds_true.csv;1850.6;20;82.7
build/results_ftv47.atsp_8threads_10seconds_true.csv;1909.22;40;6
build/results_ftv47.atsp_8threads_30seconds_true.csv;1842.25;40;20.275
build/results_ftv47.atsp_8threads_60seconds_true.csv;1840.65;20;41
build/results_ftv55.atsp_16threads_10seconds_true.csv;1756.75;20;2
build/results_ftv55.atsp_16threads_30seconds_true.csv;1726.9;20;7
build/results_ftv55.atsp_16threads_60seconds_true.csv;1716.05;20;14.95
build/results_ftv55.atsp_1threads_10seconds_true.csv;1752.45;20;39.95
build/results_ftv55.atsp_1threads_30seconds_true.csv;1714.7;20;125.9
build/results_ftv55.atsp_1threads_60seconds_true.csv;1715;20;251
build/results_ftv55.atsp_2threads_10seconds_true.csv;1745.6;20;20
build/results_ftv55.atsp_2threads_30seconds_true.csv;1721.85;20;61.1
build/results_ftv55.atsp_2threads_60seconds_true.csv;1703.6;20;124.85
build/results_ftv55.atsp_4threads_10seconds_true.csv;1737.8;20;9.95
build/results_ftv55.atsp_4threads_30seconds_true.csv;1721.1;20;30.45
build/results_ftv55.atsp_4threads_60seconds_true.csv;1700.6;20;61.85
build/results_ftv55.atsp_8threads_10seconds_true.csv;1755;20;4.75
build/results_ftv55.atsp_8threads_30seconds_true.csv;1735;20;13.6
build/results_ftv55.atsp_8threads_60seconds_true.csv;1714.65;20;30.85
build/results_ftv64.atsp_16threads_10seconds_true.csv;2040.5;20;1
build/results_ftv64.atsp_16threads_30seconds_true.csv;1956.45;20;4.95
build/results_ftv64.atsp_16threads_60seconds_true.csv;1934.4;20;9.75
build/results_ftv64.atsp_1threads_10seconds_true.csv;1954.35;20;27.1
build/results_ftv64.atsp_1threads_30seconds_true.csv;1953.7;20;84.15
build/results_ftv64.atsp_1threads_60seconds_true.csv;1946.95;20;168.8
build/results_ftv64.atsp_2threads_10seconds_true.csv;1948.6;20;12.8
build/results_ftv64.atsp_2threads_30seconds_true.csv;1938.55;20;41.65
build/results_ftv64.atsp_2threads_60seconds_true.csv;1932.9;20;81.95
build/results_ftv64.atsp_4threads_10seconds_true.csv;1957.55;20;5.95
build/results_ftv64.atsp_4threads_30seconds_true.csv;1928.25;20;20.15
build/results_ftv64.atsp_4threads_60seconds_true.csv;1930.3;20;40.9
build/results_ftv64.atsp_8threads_10seconds_true.csv;1995.9;20;3
build/results_ftv64.atsp_8threads_30seconds_true.csv;1935.25;20;10
build/results_ftv64.atsp_8threads_60seconds_true.csv;1914.1;20;20
